// FFXIV 1.0 (1.23b) RTTI Database — 4358 classes
// Generated from: ffxivgame.exe
// Date: 2026-05-18 13:35:01

// Format: Demangled | VTable VA | VFunc Count | TypeDescriptor VA | Mangled
// -------------------------------------------------------------------------
Application::Lua::Script::Client::Command::Item::ServerOrderUpdateWorkEndCommand           | 0x010571E0 |  10 | 0x012D7E80 | .?AVServerOrderUpdateWorkEndCommand@Item@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Item::UpdateEndCommand                          | 0x01057188 |  10 | 0x012D7DE0 | .?AVUpdateEndCommand@Item@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Item::UpdateStartCommand                        | 0x010571B4 |  10 | 0x012D7E30 | .?AVUpdateStartCommand@Item@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Item::UpdateWorkCommand                         | 0x0105720C |  10 | 0x012D7EE0 | .?AVUpdateWorkCommand@Item@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::AchievementAchievedCountReceiver       | 0x010572D0 |   2 | 0x012D8090 | .?AVAchievementAchievedCountReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::AchievementIdReceiver                  | 0x010572C4 |   2 | 0x012D8038 | .?AVAchievementIdReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::AchievementPointReceiver               | 0x010572AC |   2 | 0x012D7F88 | .?AVAchievementPointReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::AchievementTitleReceiver               | 0x010572B8 |   2 | 0x012D7FE0 | .?AVAchievementTitleReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::AddictLoginTimeKindReceiver            | 0x010572DC |   2 | 0x012D80F0 | .?AVAddictLoginTimeKindReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::ChangeActorExtraStatReceiver           | 0x010572E8 |   2 | 0x012D8148 | .?AVChangeActorExtraStatReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::ChangeShadowActorFlagReceiver          | 0x0105730C |   2 | 0x012D8250 | .?AVChangeShadowActorFlagReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::ChangeSystemStatReceiver               | 0x010572F4 |   2 | 0x012D81A8 | .?AVChangeSystemStatReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::EndClientOrderEventReceiver            | 0x01057348 |   5 | 0x012D8408 | .?AVEndClientOrderEventReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::EntrustItemReceiver                    | 0x01057470 |   2 | 0x012D8988 | .?AVEntrustItemReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::GrandCompanyReceiver                   | 0x01057318 |   2 | 0x012D82B0 | .?AVGrandCompanyReceiver@Network@Command@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Command::Network::HamletDefenseScoreReceiver             | 0x01057330 |   2 | 0x012D8360 | .?AVHamletDefenseScoreReceiver@Network@Command@Client@Script@Lua@Application@@
