// FFXIV 1.0 (1.23b) RTTI Database — 4358 classes
// Generated from: ffxivgame.exe
// Date: 2026-05-18 13:35:01

// Format: Demangled | VTable VA | VFunc Count | TypeDescriptor VA | Mangled
// -------------------------------------------------------------------------
SQEX::CDev::Engine::Common::ISceneObject::IVfxActorListener                                | 0x01032B0C |   2 | 0x012CE488 | .?AVIVfxActorListener@ISceneObject@Common@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Common::ISceneObject::IVfxContainer                                    | 0x0109DD20 |  11 | 0x012F0578 | .?AVIVfxContainer@ISceneObject@Common@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Common::ISceneObject::IWorld                                           | 0x0109C7F0 |   9 | 0x012B6784 | .?AVIWorld@ISceneObject@Common@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Common::Misc::NonCopyable                                              |            |     | 0x012B65D0 | .?AVNonCopyable@Misc@Common@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Common::Task::Instance                                                 | 0x01093A00 |   1 | 0x012EC340 | .?AVInstance@Task@Common@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Common::Task::PerfInfo                                                 | 0x01093734 |   1 | 0x012EC294 | .?AVPerfInfo@Task@Common@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Common::Task::PerfInfo2                                                | 0x01093744 |   1 | 0x012EC308 | .?AVPerfInfo2@Task@Common@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Common::Task::PerformanceCollecter                                     | 0x0109373C |   1 | 0x012EC2C8 | .?AVPerformanceCollecter@Task@Common@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Common::Task::PerformanceCollecterManager                              | 0x01093CD8 |   1 | 0x012EC378 | .?AVPerformanceCollecterManager@Task@Common@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Common::Timer::PerformanceCounter                                      |            |     | 0x0130C64C | .?AVPerformanceCounter@Timer@Common@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Common::Timer::TimerCallback                                           | 0x01133A00 |   1 | 0x0131DF1C | .?AVTimerCallback@Timer@Common@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Common::CutSceneMemoryObject                                      |            |     | 0x012B8F98 | .?AVCutSceneMemoryObject@Common@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Common::CutSceneObject                                            |            |     | 0x012B80A4 | .?AVCutSceneObject@Common@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::CutScenePlayer::CutSceneObject                                    | 0x010942E4 |  69 | 0x012EC510 | .?AVCutSceneObject@CutScenePlayer@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Listeners::CutBGListener                                          | 0x00FBE690 |   7 | 0x012B9298 | .?AVCutBGListener@Listeners@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Listeners::CutCameraListener                                      | 0x00FBE6B4 |  19 | 0x012B92D4 | .?AVCutCameraListener@Listeners@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Listeners::CutCharacterListener                                   |            |     | 0x012B9608 | .?AVCutCharacterListener@Listeners@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Listeners::CutDrawEnvListener                                     | 0x00FBE704 |   5 | 0x012B9318 | .?AVCutDrawEnvListener@Listeners@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Listeners::CutEffectListener                                      | 0x00FBE71C |  12 | 0x012B9358 | .?AVCutEffectListener@Listeners@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Listeners::CutLightEnvListener                                    | 0x00FBE750 |   4 | 0x012B9398 | .?AVCutLightEnvListener@Listeners@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Listeners::CutLightListener                                       | 0x00FBE764 |  16 | 0x012B93DC | .?AVCutLightListener@Listeners@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Listeners::CutMotionListener                                      | 0x00FBE7DC |  15 | 0x012B9464 | .?AVCutMotionListener@Listeners@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Listeners::CutPackListener                                        | 0x00FBE854 |   7 | 0x012B94E4 | .?AVCutPackListener@Listeners@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Listeners::CutPostEffectListener                                  |            |     | 0x012B96E8 | .?AVCutPostEffectListener@Listeners@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Listeners::CutResourceListener                                    | 0x00FBE874 |   6 | 0x012B9528 | .?AVCutResourceListener@Listeners@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Listeners::CutScheduleListener                                    | 0x00FBE7A8 |  12 | 0x012B9420 | .?AVCutScheduleListener@Listeners@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Listeners::CutSoundListener                                       | 0x00FBE81C |  13 | 0x012B94A4 | .?AVCutSoundListener@Listeners@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Listeners::ListenerInstances                                      | 0x00FBE488 |   2 | 0x012B8F58 | .?AVListenerInstances@Listeners@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Listeners::MccListener                                            | 0x01094FFC |   4 | 0x012EC57C | .?AVMccListener@Listeners@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::AccMccActorContainerFactory                              | 0x01097784 |   1 | 0x012ECF50 | .?AVAccMccActorContainerFactory@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::AccScheduler                                             | 0x0109765C |  21 | 0x012ECE64 | .?AVAccScheduler@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::AccSchedulerFactory                                      | 0x01096D64 |   4 | 0x012ECB6C | .?AVAccSchedulerFactory@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ActionActor                                              | 0x0109771C |  25 | 0x012ECF10 | .?AVActionActor@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ActionClip                                               |            |     | 0x012CE820 | .?AVActionClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::AmbientLightClip                                         |            |     | 0x012F354C | .?AVAmbientLightClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::AutoMoveClip                                             | 0x011352B4 |  42 | 0x0131E810 | .?AVAutoMoveClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::BGActionClip                                             | 0x01136634 |  42 | 0x0131F020 | .?AVBGActionClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::BGMStopClip                                              | 0x011394C4 |  42 | 0x01320590 | .?AVBGMStopClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::BGMVolumeClip                                            | 0x011396A4 |  42 | 0x01320640 | .?AVBGMVolumeClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::BindActorClip                                            |            |     | 0x012CE2BC | .?AVBindActorClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::BlurClip                                                 | 0x01137F8C |  42 | 0x0131FB74 | .?AVBlurClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::CameraClip                                               | 0x010955DC |  42 | 0x012B79D8 | .?AVCameraClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::CameraObject                                             | 0x01096354 |   3 | 0x012EC8C0 | .?AVCameraObject@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::CameraObject::IEventListener                             | 0x010953D8 |   2 | 0x012EC5C0 | .?AVIEventListener@CameraObject@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::CameraObjectFactory                                      | 0x01097384 |   2 | 0x012ECCA4 | .?AVCameraObjectFactory@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::CameraResourceNode                                       | 0x010974DC |  15 | 0x012ECE1C | .?AVCameraResourceNode@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::CameraResourceNodeFactory                                | 0x010957E8 |   7 | 0x012EC6F8 | .?AVCameraResourceNodeFactory@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::CharacterActor                                           | 0x01133A0C |  24 | 0x0131DF58 | .?AVCharacterActor@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ClipListenerHolder                                       | 0x00FBDF14 |   1 | 0x012B8874 | .?AVClipListenerHolder@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ClippingClip                                             | 0x01139814 |  42 | 0x013206F0 | .?AVClippingClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ClipSyncClip                                             | 0x0109604C |  42 | 0x012EC7D0 | .?AVClipSyncClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ColorCorrectionClip                                      | 0x0113810C |  42 | 0x0131FC28 | .?AVColorCorrectionClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ConstrainClip                                            | 0x01136954 |  42 | 0x0131F188 | .?AVConstrainClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::CreateModelClip                                          | 0x01134DF4 |  42 | 0x0131E640 | .?AVCreateModelClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::CrossFadeClip                                            | 0x01136EAC |  42 | 0x0131F3A8 | .?AVCrossFadeClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::CullingOnOffClip                                         | 0x01136D3C |  42 | 0x0131F2F4 | .?AVCullingOnOffClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::DeleteModelClip                                          | 0x01134EAC |  42 | 0x0131E680 | .?AVDeleteModelClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::DepthOfFieldClip                                         | 0x011370A4 |  42 | 0x0131F46C | .?AVDepthOfFieldClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::DirectionalLightClip                                     |            |     | 0x012F3498 | .?AVDirectionalLightClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::EffectClip                                               |            |     | 0x012CE50C | .?AVEffectClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::EffectTurnOffClip                                        | 0x01139004 |  42 | 0x01320378 | .?AVEffectTurnOffClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::EndSubScheduleClip                                       | 0x01135DB4 |  42 | 0x0131ECC4 | .?AVEndSubScheduleClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::EnvMapClip                                               | 0x0109650C |  42 | 0x012EC978 | .?AVEnvMapClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::FadeScreenClip                                           | 0x01135C3C |  42 | 0x0131EC3C | .?AVFadeScreenClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::FogClip                                                  | 0x01139AFC |  42 | 0x01320854 | .?AVFogClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::FogParamClip                                             | 0x01095EDC |  42 | 0x012B8E28 | .?AVFogParamClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::FootSeOnOffClip                                          | 0x0113755C |  42 | 0x0131F67C | .?AVFootSeOnOffClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::FrameSyncClip                                            | 0x010961BC |  42 | 0x012EC880 | .?AVFrameSyncClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::GetNumberClip                                            |            |     | 0x012F3AC8 | .?AVGetNumberClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::GetStringClip                                            | 0x01134D34 |  44 | 0x0131E600 | .?AVGetStringClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::GlareClip                                                | 0x01137264 |  42 | 0x0131F51C | .?AVGlareClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::IClipListenerHolder                                      | 0x00FBDE9C |  14 | 0x012B8834 | .?AVIClipListenerHolder@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ICutBGListener                                           | 0x00FBE494 |   7 | 0x012B8FD8 | .?AVICutBGListener@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ICutCameraListener                                       | 0x00FBE4B4 |  19 | 0x012B9014 | .?AVICutCameraListener@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ICutCharacterListener                                    | 0x01094E8C |  45 | 0x012B9650 | .?AVICutCharacterListener@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ICutDrawEnvListener                                      | 0x00FBE504 |   5 | 0x012B9054 | .?AVICutDrawEnvListener@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ICutEffectListener                                       | 0x00FBE51C |  12 | 0x012B9094 | .?AVICutEffectListener@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ICutLightEnvListener                                     | 0x00FBE550 |   4 | 0x012B90D8 | .?AVICutLightEnvListener@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ICutLightListener                                        | 0x00FBE564 |  16 | 0x012B9118 | .?AVICutLightListener@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ICutMotionListener                                       | 0x00FBE5DC |  15 | 0x012B9198 | .?AVICutMotionListener@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ICutPackListener                                         | 0x00FBE654 |   7 | 0x012B9218 | .?AVICutPackListener@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ICutPostEffectListener                                   | 0x010952BC |  34 | 0x012B9730 | .?AVICutPostEffectListener@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ICutResourceListener                                     | 0x00FBE674 |   6 | 0x012B9258 | .?AVICutResourceListener@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ICutScheduleListener                                     | 0x00FBE5A8 |  12 | 0x012B9158 | .?AVICutScheduleListener@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ICutSoundListener                                        | 0x00FBE61C |  13 | 0x012B91D8 | .?AVICutSoundListener@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::IKTargetClip                                             | 0x01138CE4 |  43 | 0x01320208 | .?AVIKTargetClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::IKTargetLimitClip                                        | 0x011391E4 |  42 | 0x01320434 | .?AVIKTargetLimitClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::IndividualShadowClip                                     | 0x0113843C |  42 | 0x0131FDA8 | .?AVIndividualShadowClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::KillClip                                                 | 0x01135744 |  42 | 0x0131EA24 | .?AVKillClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::LatitudeClip                                             | 0x011373DC |  42 | 0x0131F5C8 | .?AVLatitudeClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::LayerActor                                               | 0x01096C1C |  24 | 0x012ECA38 | .?AVLayerActor@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::LayoutActor                                              | 0x01133D74 |  24 | 0x0131E248 | .?AVLayoutActor@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::LightAddClip                                             | 0x01135A84 |  42 | 0x0131EB88 | .?AVLightAddClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::LightClip                                                | 0x01095934 |  45 | 0x012B8A7C | .?AVLightClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::LoadClip                                                 | 0x0113460C |  42 | 0x0131E464 | .?AVLoadClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::LocalCameraClip                                          | 0x01095874 |  43 | 0x012B7A44 | .?AVLocalCameraClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::LUTColorCorrectionClip                                   | 0x01139984 |  42 | 0x013207A0 | .?AVLUTColorCorrectionClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::MapActor                                                 | 0x01133A74 |  24 | 0x0131E040 | .?AVMapActor@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::MccScheduler                                             | 0x0109715C |  30 | 0x012ECC3C | .?AVMccScheduler@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::MccSchedulerFactory                                      | 0x01097790 |   5 | 0x012ECF9C | .?AVMccSchedulerFactory@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ModelActor                                               |            |     | 0x0131DF94 | .?AVModelActor@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::MotionActor                                              | 0x01096CEC |  24 | 0x012ECAE0 | .?AVMotionActor@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::MotionClip                                               | 0x011348B4 |  42 | 0x0131E510 | .?AVMotionClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::MotionClip_                                              | 0x01139C84 |  42 | 0x01320950 | .?AVMotionClip_@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::MotionCommandClip                                        | 0x01133E9C |  42 | 0x0131E2F8 | .?AVMotionCommandClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::MotionEndBlendClip                                       | 0x01136184 |  42 | 0x0131EDC8 | .?AVMotionEndBlendClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::MotionLabelClip                                          | 0x01135454 |  42 | 0x0131E8C4 | .?AVMotionLabelClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::MovePosClip                                              |            |     | 0x012F3780 | .?AVMovePosClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::PhysicsCollectEnableClip                                 | 0x01138894 |  42 | 0x0131FFE0 | .?AVPhysicsCollectEnableClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::PhysicsEnableClip                                        | 0x011367E4 |  42 | 0x0131F0D4 | .?AVPhysicsEnableClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::PhysicsEnableDrawClip                                    | 0x01138724 |  42 | 0x0131FF18 | .?AVPhysicsEnableDrawClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::PhysicsPauseClip                                         | 0x01138A04 |  42 | 0x0132009C | .?AVPhysicsPauseClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::PhysicsResetClip                                         | 0x01138B74 |  42 | 0x01320154 | .?AVPhysicsResetClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::PointLightClip                                           |            |     | 0x012F33E4 | .?AVPointLightClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::PushPopActorInfo                                         | 0x011362E8 |   1 | 0x0131EE80 | .?AVPushPopActorInfo@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::PushPopClip                                              | 0x011362FC |  42 | 0x0131EEBC | .?AVPushPopClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::RandomClip                                               |            |     | 0x012F39B0 | .?AVRandomClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::RootMoveClip                                             | 0x011364B4 |  42 | 0x0131EF68 | .?AVRootMoveClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ScheduleActor                                            | 0x01133C14 |  24 | 0x0131E19C | .?AVScheduleActor@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ScheduleActorClip                                        | 0x01135E6C |  42 | 0x0131ED08 | .?AVScheduleActorClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ScheduleClip                                             | 0x01134A84 |  42 | 0x0131E5C0 | .?AVScheduleClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::SEClip                                                   | 0x0113503C |  42 | 0x0131E764 | .?AVSEClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::SelectSkipClip                                           | 0x01137CAC |  42 | 0x0131FA14 | .?AVSelectSkipClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::SendMessageClip                                          | 0x0113590C |  44 | 0x0131EAD4 | .?AVSendMessageClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::SetGlobalPosClip                                         | 0x01138E94 |  42 | 0x013202BC | .?AVSetGlobalPosClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::SetPosClip                                               |            |     | 0x012F3668 | .?AVSetPosClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::SEVolumeClip                                             | 0x011385AC |  44 | 0x0131FE60 | .?AVSEVolumeClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ShadowClip                                               | 0x0113783C |  42 | 0x0131F7E8 | .?AVShadowClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ShadowDirectionClip                                      | 0x011379BC |  42 | 0x0131F8A0 | .?AVShadowDirectionClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ShadowOnOffClip                                          | 0x01137B3C |  42 | 0x0131F95C | .?AVShadowOnOffClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::ShowHideClip                                             |            |     | 0x012F3898 | .?AVShowHideClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::SoundActor                                               | 0x01133B44 |  24 | 0x0131E0E8 | .?AVSoundActor@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::SpotLightClip                                            |            |     | 0x012F3338 | .?AVSpotLightClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::StartSubScheduleClip                                     | 0x01135CFC |  42 | 0x0131EC80 | .?AVStartSubScheduleClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::StopSkipClip                                             | 0x01137E1C |  42 | 0x0131FAC8 | .?AVStopSkipClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::SwitchCameraClip                                         | 0x011376CC |  42 | 0x0131F734 | .?AVSwitchCameraClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::TextLabelClip                                            | 0x011355C4 |  42 | 0x0131E978 | .?AVTextLabelClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::TransformClip                                            | 0x01095C34 |  44 | 0x012B8AB4 | .?AVTransformClip@Plugins@Cut@Engine@CDev@SQEX@@
SQEX::CDev::Engine::Cut::Plugins::UACTION_ACTOR_DATA::?$BaseActorImpl                      | 0x010976B4 |  24 | 0x012ECEA0 | .?AV?$BaseActorImpl@UACTION_ACTOR_DATA@Plugins@Cut@Engine@CDev@SQEX@@@
SQEX::CDev::Engine::Cut::Plugins::UACTION_CLIP_DATA::?$BaseClipImpl                        | 0x01096D84 |  42 | 0x012CE858 | .?AV?$BaseClipImpl@UACTION_CLIP_DATA@Plugins@Cut@Engine@CDev@SQEX@@@
SQEX::CDev::Engine::Cut::Plugins::UAUTOMOVE_CLIP_DATA::?$BaseClipImpl                      | 0x011351FC |  42 | 0x0131E7A0 | .?AV?$BaseClipImpl@UAUTOMOVE_CLIP_DATA@Plugins@Cut@Engine@CDev@SQEX@@@
SQEX::CDev::Engine::Cut::Plugins::UBGACTION_CLIP_DATA::?$BaseClipImpl                      | 0x0113657C |  42 | 0x0131EFB0 | .?AV?$BaseClipImpl@UBGACTION_CLIP_DATA@Plugins@Cut@Engine@CDev@SQEX@@@
SQEX::CDev::Engine::Cut::Plugins::UBGMSTOP_CLIP_DATA::?$BaseClipImpl                       | 0x0113940C |  42 | 0x01320520 | .?AV?$BaseClipImpl@UBGMSTOP_CLIP_DATA@Plugins@Cut@Engine@CDev@SQEX@@@
SQEX::CDev::Engine::Cut::Plugins::UBGMVOLUME_CLIP_DATA::?$BaseClipImpl                     | 0x011395EC |  42 | 0x013205D0 | .?AV?$BaseClipImpl@UBGMVOLUME_CLIP_DATA@Plugins@Cut@Engine@CDev@SQEX@@@
SQEX::CDev::Engine::Cut::Plugins::UBINDACTOR_CLIP_DATA::?$BaseClipImpl                     | 0x0109660C |  42 | 0x012CE2F8 | .?AV?$BaseClipImpl@UBINDACTOR_CLIP_DATA@Plugins@Cut@Engine@CDev@SQEX@@@
SQEX::CDev::Engine::Cut::Plugins::UBLUR_CLIP_DATA::?$BaseClipImpl                          | 0x01137ED4 |  42 | 0x0131FB08 | .?AV?$BaseClipImpl@UBLUR_CLIP_DATA@Plugins@Cut@Engine@CDev@SQEX@@@
SQEX::CDev::Engine::Cut::Plugins::UCAMERA_CLIP_DATA::?$BaseClipImpl                        | 0x010953EC |  42 | 0x012EC608 | .?AV?$BaseClipImpl@UCAMERA_CLIP_DATA@Plugins@Cut@Engine@CDev@SQEX@@@
SQEX::CDev::Engine::Cut::Plugins::UCLIPPING_CLIP_DATA::?$BaseClipImpl                      | 0x0113975C |  42 | 0x01320680 | .?AV?$BaseClipImpl@UCLIPPING_CLIP_DATA@Plugins@Cut@Engine@CDev@SQEX@@@
